# seq, timestamp, rtor, hr
1,43.675,0,0
2,43.738,0,0
3,43.801,0,0
4,43.863,0,0
5,43.925,0,0
6,43.987,0,0
7,44.049,0,0
8,44.112,0,0
9,44.174,0,0
10,44.238,0,0
11,44.300,0,0
12,44.363,0,0
13,44.424,0,0
14,44.488,0,0
15,44.550,0,0
16,44.613,0,0
17,44.675,0,0
18,44.737,0,0
19,44.799,0,0
20,44.861,0,0
21,44.925,0,0
22,44.987,0,0
23,45.049,0,0
24,45.111,0,0
25,45.175,0,0
26,45.236,0,0
27,45.299,0,0
28,45.361,0,0
29,45.424,0,0
30,45.486,0,0
31,45.550,0,0
32,45.613,0,0
33,45.673,0,0
34,45.737,0,0
35,45.798,0,0
36,45.862,0,0
37,45.924,0,0
38,45.986,0,0
39,46.049,0,0
40,46.111,0,0
41,46.174,0,0
42,46.236,0,0
43,46.298,0,0
44,46.362,0,0
45,46.424,0,0
46,46.486,0,0
47,46.549,0,0
48,46.611,0,0
49,46.674,0,0
50,46.736,0,0
51,46.798,0,0
52,46.860,0,0
53,46.924,0,0
54,46.986,0,0
55,47.049,0,0
56,47.111,0,0
57,47.174,0,0
58,47.236,0,0
59,47.298,0,0
60,47.360,0,0
61,47.422,0,0
62,47.486,0,0
63,47.548,0,0
64,47.610,0,0
65,47.672,0,0
66,47.736,0,0
67,47.798,0,0
68,47.860,0,0
69,47.922,0,0
70,47.986,0,0
71,48.049,0,0
72,48.110,0,0
73,48.172,0,0
74,48.236,0,0
75,48.298,0,0
76,48.360,0,0
77,48.422,0,0
78,48.484,0,0
79,48.548,0,0
80,48.610,0,0
81,48.672,0,0
82,48.734,0,0
83,48.797,0,0
84,48.859,0,0
85,48.923,0,0
86,48.985,0,0
87,49.047,0,0
88,49.109,0,0
89,49.171,0,0
90,49.234,0,0
91,49.296,0,0
92,49.360,0,0
93,49.422,0,0
94,49.484,0,0
95,49.546,0,0
96,49.610,0,0
97,49.672,0,0
98,49.734,0,0
99,49.796,0,0
100,49.860,0,0
101,49.922,0,0
102,49.984,0,0
103,50.046,0,0
104,50.108,0,0
105,50.172,0,0
106,50.233,0,0
107,50.297,0,0
108,50.358,0,0
109,50.422,0,0
110,50.483,0,0
111,50.547,0,0
112,50.609,0,0
113,50.671,0,0
114,50.733,0,0
115,50.797,0,0
116,50.858,0,0
117,50.921,0,0
118,50.983,0,0
119,51.045,0,0
120,51.109,0,0
121,51.171,0,0
122,51.233,0,0
123,51.295,0,0
124,51.359,0,0
125,51.421,0,0
126,51.483,0,0
127,51.545,0,0
128,51.609,0,0
129,51.671,0,0
130,51.733,0,0
131,51.796,0,0
132,51.858,0,0
133,51.920,0,0
134,51.982,0,0
135,52.046,0,0
136,52.108,0,0
137,52.170,0,0
138,52.233,0,0
139,52.296,0,0
140,52.358,0,0
141,52.421,0,0
142,52.483,0,0
143,52.545,0,0
144,52.608,0,0
145,52.670,0,0
146,52.732,0,0
147,52.794,0,0
148,52.858,16472,3
149,52.920,16472,3
150,52.982,16472,3
151,53.044,16472,3
152,53.108,16472,3
153,53.170,16472,3
154,53.232,16472,3
155,53.295,16472,3
156,53.357,16472,3
157,53.420,16472,3
158,53.482,16472,3
159,53.544,16472,3
160,53.606,16472,3
161,53.670,16472,3
